"id","last_updated","sample_id","eartag","name","prev_id","sex","age_class","status","first_seen","den_grad","disappeared","mom","birthdate","number_littermates","litrank","arrived_den","leave_den","fate","mortality_source","death_date","weaned","clan","park","misc_notes"
"stom","18-nov-16","158","","stoma","","m","a","t","22-aug-95","","05-jun-96","","","","","","","u","","","","talek","tk",""
"str","21-jul-16","","","stringer","","f","s","r","01-jun-87","","11-jul-92","67","01-feb-87","0","1","","","k","","","","talek","tk",""
"stth","","","","st anthony","","","","","","","","","","","","","","a","","","","","","amboseli; lakeview clan"
"stub","","","","stubby","","f","a","r","09-jun-02","","","","","","","","","a","","","","airstrip","","amboseli"
"styr","18-jul-16","675","","satyr","twinkle=cubname","f","c","r","11-dec-11","29-jun-12","","pan","16-oct-11","1","2","","","a","","","27-oct-12","talek","",""
"sud","21-jul-16","334","334","sudan","","f","c","r","14-jan-01","24-jul-01","02-oct-02","cr","24-dec-00","1","1","","","k","","","28-dec-01","talek","tk"," dengrad calced by pat"
"suk","02-feb-16","","","sukuma","","f","c","r","13-aug-09","22-may-10","07-jul-12","mp","04-aug-09","0","","","","k","","","30-jul-10","talek","",""
"suli","11-may-16","","","james p. sullivan","bee's wax","","c","r","10-dec-14","","","ein","15-oct-14","1","1","","","a","","","","fig.tree","",""
"sun","29-oct-15","80","","sundance","","m","c","r","06-jul-92","01-feb-93","20-apr-97","23s","05-jun-92","1","2","","","d","","","16-may-93","talek","tk"," dengrad calced by pat"
"supm","13-nov-15","","","superman","","m","","i","08-jun-02","","","","","","","","","a","","","","airstrip","","amboseli"
"swe","","196","","sweepers","","f","a","t","16-feb-97","","17-feb-97","","","","","","","","","","","talek","tk",""
"swil","21-jul-16","","","serena williams","","f","c","r","09-apr-10","01-jan-11","07-feb-13","baez","30-mar-10","1","1","","","k","","","25-jun-11","talek","",""
"swp","","155","","sweetpea","","f","a","f","23-jul-95","","23-jul-95","","","","","","","u","","","","fig.tree","tk",""
"syd","26-may-15","","","sydney","","m","a","i","03-jan-05","","08-jul-06","","","","","","","u","","","","talek","",""
"sym","13-nov-15","","","sym","","f","","r","21-jul-03","","","","","","","","","a","","","","airstrip","","amboseli"
"syp","","","","syphon","","m","a","i","08-jul-01","","14-aug-02","","","","","","","u","","","","mara.river","",""
