Clan,Session,LOCATION,DAY,MONTH,YEAR,DATE,START,STOP,hyena_count,lion_count,food_present,no_intx_yes_no,numMobs,SessLength
talek,524,d,21,5,1989,32649,17:00,18:36,21,NaN,0,1,NaN,96
talek,554,o,30,5,1989,32658,7:09,7:39,22,2,0,0,0,30
talek,567,k,3,6,1989,32662,7:30,8:54,28,2,1,0,0,84
talek,671,o,10,8,1989,32730,6:54,8:20,20,2,0,0,4,86
talek,708.5,o,9,9,1989,32760,17:35,18:09,3,9,1,1,NaN,34
talek,732.4,o,19,9,1989,32770,6:08,6:13,1,1,0,1,NaN,5
talek,733,k,19,9,1989,32770,6:27,7:50,25,1,1,0,0,83
talek,785,d,19,10,1989,32800,6:14,7:18,13,1,0,1,NaN,64
talek,843,o,15,11,1989,32827,7:30,8:14,8,3,0,1,NaN,44
talek,864,o,25,11,1989,32837,6:11,8:23,31,3,0,0,0,132
talek,867.1,o,26,11,1989,32838,6:08,6:13,4,2,0,0,0,5
talek,867.2,k,25,11,1989,32837,19:02,19:12,12,NaN,1,1,NaN,10
talek,879,k,2,12,1989,32844,6:46,8:06,23,3,1,0,0,80
talek,888,k,13,12,1989,32855,7:05,7:52,27,2,1,1,NaN,47
talek,888.1,k,13,12,1989,32855,10:30,14:30,27,2,1,1,NaN,240
talek,888.2,k,13,12,1989,32855,14:30,15:30,27,2,1,1,NaN,60
talek,889,k,13,12,1989,32855,16:54,18:54,30,2,1,0,3,120
talek,891,k,14,12,1989,32856,6:43,7:59,27,1,1,1,NaN,76
talek,905.3,o,19,12,1989,32861,6:22,6:27,2,2,0,1,NaN,5
talek,908.1,k,19,12,1989,32861,18:30,18:40,3,2,1,1,NaN,10
talek,908.2,d,19,12,1989,32861,18:50,18:55,5,2,0,0,0,5
talek,936.2,k,13,1,1990,32886,18:30,18:45,9,3,1,0,1,15
talek,1013.3,o,11,4,1990,32974,17:26,18:17,10,15,1,0,0,51
talek,1018,d,14,4,1990,32977,17:19,18:55,8,NaN,0,1,NaN,96
talek,1021.7,o,16,4,1990,32979,18:32,18:37,6,4,0,1,NaN,5
talek,1038.3,k,25,4,1990,32988,18:25,18:45,22,1,1,0,0,20
talek,1040.3,d,27,4,1990,32990,6:26,7:42,25,NaN,1,1,0,76
talek,1088.2,o,5,6,1990,33029,7:24,7:56,3,1,0,0,0,32
talek,1110.3,k,27,6,1990,33051,7:00,10:10,39,2,1,0,1,190
talek,1140,k,2,8,1990,33087,6:43,9:28,25,NaN,1,0,2,165
talek,1190,k,21,8,1990,33106,6:30,8:12,30,2,1,1,0,102
talek,1198.1,o,25,8,1990,33110,6:56,7:01,2,2,0,1,NaN,5
talek,1209,k,31,8,1990,33116,9:00,9:29,11,6,1,0,0,29
talek,1213,d,3,9,1990,33119,6:36,7:48,14,NaN,0,1,NaN,72
talek,1238,k,19,9,1990,33135,7:00,7:08,2,6,1,1,0,8
talek,1245,k,24,9,1990,33140,7:08,7:26,1,2,1,0,0,18
talek,1247,d,24,9,1990,33140,17:59,18:50,10,NaN,0,1,NaN,51
talek,1287,k,18,10,1990,33164,6:27,7:13,3,1,1,1,0,46
talek,1311,o,11,11,1990,33188,7:16,8:25,1,2,1,1,0,69
talek,1360,k,22,12,1990,33229,7:00,8:20,8,1,1,0,0,80
talek,1361,d,23,12,1990,33230,17:44,18:39,2,NaN,0,1,0,55
talek,1365,o,24,12,1990,33231,7:22,7:27,29,2,1,1,NaN,5
talek,1369,d,25,12,1990,33232,17:58,19:01,8,NaN,0,1,NaN,63
talek,1373,d,27,12,1990,33234,17:32,19:12,14,NaN,0,1,0,100
talek,1374,k,28,12,1990,33235,7:22,7:32,21,NaN,1,1,0,10
talek,1386,k,31,12,1990,33238,6:15,8:42,24,2,1,0,0,147
talek,1388,d,1,1,1991,33239,6:16,6:27,5,NaN,0,1,NaN,11
talek,1388.2,o,1,1,1991,33239,7:06,7:16,5,1,1,1,0,10
talek,1389,o,1,1,1991,33239,7:26,7:54,7,1,0,1,0,28
talek,1411,o,7,1,1991,33245,18:36,19:04,3,NaN,0,1,0,28
talek,1468.1,o,2,2,1991,33271,7:20,8:18,3,21,0,1,NaN,58
talek,1480.2,o,8,2,1991,33277,7:23,7:28,1,5,0,1,NaN,5
talek,1525.3,o,9,3,1991,33306,7:05,7:20,3,1,0,1,NaN,15
talek,1529.1,d,11,3,1991,33308,6:40,6:55,8,2,0,1,NaN,15
talek,1569.3,o,27,5,1991,33385,6:58,10:28,16,9,1,0,0,210
talek,1578.1,o,4,6,1991,33393,17:30,18:02,5,9,0,1,NaN,32
talek,1589,o,16,6,1991,33405,6:44,8:00,2,1,0,1,0,76
talek,1598,k,28,6,1991,33417,17:10,18:34,5,1,1,0,0,84
talek,1602.1,k,30,6,1991,33419,17:33,18:38,14,7,1,1,0,65
talek,1603.1,k,1,7,1991,33420,6:34,8:15,18,1,1,0,0,101
talek,1605,k,2,7,1991,33421,16:20,19:00,19,5,1,0,0,160
talek,1612,k,6,7,1991,33425,17:20,17:31,1,9,1,1,NaN,11
talek,1625,o,12,7,1991,33431,6:35,6:40,6,4,0,1,NaN,5
talek,1627,k,13,7,1991,33432,6:07,7:10,15,7,1,0,0,63
talek,1636.1,k,24,7,1991,33443,6:40,6:45,1,11,1,1,NaN,5
talek,1637.1,k,24,7,1991,33443,18:38,18:43,1,11,1,1,NaN,5
talek,1638,k,25,7,1991,33444,6:25,7:10,1,7,1,1,0,45
talek,1651.2,k,31,7,1991,33450,7:13,8:15,1,3,0,0,0,62
talek,1654.8,o,1,8,1991,33451,16:50,16:55,1,4,0,1,NaN,5
talek,1659,o,3,8,1991,33453,7:05,7:21,1,1,0,1,0,16
talek,1672,k,11,8,1991,33461,6:30,6:55,3,5,1,1,0,25
talek,1697,o,30,8,1991,33480,18:20,18:25,1,5,0,1,NaN,5
talek,1701.6,k,1,9,1991,33482,7:40,7:45,2,1,1,1,NaN,5
talek,1712.1,o,5,9,1991,33486,6:56,7:44,4,NaN,0,1,NaN,48
talek,1738,o,14,9,1991,33495,6:25,6:30,3,1,0,1,NaN,5
talek,1738.6,o,14,9,1991,33495,7:00,8:23,11,1,0,0,5,83
talek,1738.7,o,14,9,1991,33495,8:32,9:25,7,NaN,1,1,0,53
talek,1748.3,k,20,9,1991,33501,6:59,8:00,7,7,1,1,0,61
talek,1754.1,k,21,9,1991,33502,6:27,8:25,2,NaN,1,1,0,118
talek,1818,d,25,10,1991,33536,5:17,7:55,24,1,1,1,0,158
talek,1823,k,27,10,1991,33538,6:30,6:50,15,4,0,1,0,20
talek,1825,o,28,10,1991,33539,6:26,7:39,1,NaN,0,1,NaN,73
talek,1837.2,k,5,11,1991,33547,6:55,7:00,1,2,1,1,NaN,5
talek,1849,d,9,11,1991,33551,17:37,18:50,19,2,0,1,NaN,73
talek,1850,o,10,11,1991,33552,6:36,7:35,1,6,0,1,NaN,59
talek,1862,k,15,11,1991,33557,7:43,8:20,2,7,1,1,NaN,37
talek,1863.1,k,15,11,1991,33557,18:45,18:55,1,1,1,0,0,10
talek,1864,o,15,11,1991,33557,6:08,7:59,3,1,1,0,0,111
talek,1868.2,k,18,11,1991,33560,8:25,8:38,3,3,1,1,0,13
talek,1870.02,o,19,11,1991,33561,18:45,18:50,2,2,0,0,NaN,5
talek,1876,o,21,11,1991,33563,5:57,7:20,7,1,0,1,0,83
talek,1878,k,21,11,1991,33563,8:09,8:30,2,14,1,1,0,21
talek,1903.8,o,1,12,1991,33573,18:06,18:11,1,NaN,0,1,NaN,5
talek,1906.3,o,3,12,1991,33575,6:56,7:01,2,4,0,1,NaN,5
talek,1910,o,5,12,1991,33577,6:19,6:28,1,8,0,1,NaN,9
talek,1919.2,o,17,12,1991,33589,7:15,7:20,5,6,0,1,NaN,5
talek,1929.1,o,22,12,1991,33594,6:38,6:43,1,4,0,1,NaN,5
talek,1933,o,23,12,1991,33595,6:31,6:45,4,NaN,0,1,NaN,14
talek,1958,o,7,1,1992,33610,6:25,7:15,8,8,0,1,NaN,50
talek,1959,o,7,1,1992,33610,7:26,8:42,6,1,0,0,0,76
talek,1960.4,o,8,1,1992,33611,9:04,9:09,2,1,0,1,NaN,5
talek,1971,o,23,1,1992,33626,7:07,7:53,7,2,0,1,NaN,46
talek,1979,o,29,1,1992,33632,7:43,7:52,1,1,0,1,NaN,9
talek,2011,d,4,3,1992,33667,18:27,19:11,11,NaN,0,1,NaN,44
talek,2022,k,8,3,1992,33671,6:35,9:21,4,16,1,1,NaN,166
talek,2044,c,31,3,1992,33694,6:30,6:40,3,2,1,1,NaN,10
talek,2047,k,1,4,1992,33695,6:00,9:00,25,3,1,0,0,180
talek,2058,k,8,4,1992,33702,6:36,8:00,19,5,1,0,0,84
talek,2085,o,12,1,1992,33615,6:27,6:59,3,1,0,1,NaN,32
talek,2086,o,14,1,1992,33617,7:17,7:49,4,NaN,1,1,NaN,32
talek,2094,o,24,1,1992,33627,9:25,9:53,7,NaN,0,1,NaN,28
talek,2096.7,o,20,12,1991,33592,6:28,6:33,1,6,0,1,NaN,5
talek,2123.7,d,3,5,1992,33727,17:10,17:15,3,2,0,1,NaN,5
talek,2129.3,k,6,5,1992,33730,7:55,8:00,10,NaN,1,1,0,5
talek,2132,k,7,5,1992,33731,6:30,8:06,6,8,1,1,0,96
talek,2133.7,k,8,5,1992,33732,7:00,7:05,2,NaN,1,1,NaN,5
talek,2135,k,8,5,1992,33732,17:30,18:50,24,8,1,0,0,80
talek,2155,k,23,5,1992,33747,6:37,7:55,18,1,1,1,NaN,78
talek,2160.4,o,25,5,1992,33749,17:57,18:02,7,8,0,1,NaN,5
talek,2169,o,31,5,1992,33755,6:45,7:40,6,2,0,0,0,55
talek,2182,k,8,6,1992,33763,6:50,7:17,15,1,1,1,0,27
talek,2183,d,8,6,1992,33763,7:19,7:41,8,7,0,1,0,22
talek,2183.6,o,8,6,1992,33763,17:47,17:52,3,8,0,1,NaN,5
talek,2194,o,12,6,1992,33767,6:00,6:45,2,3,0,1,0,45
talek,3001,k,14,6,1992,33769,17:03,18:16,6,8,1,0,0,73
talek,3002,o,15,6,1992,33770,7:08,7:24,2,8,1,1,0,16
talek,3005,d,16,6,1992,33771,6:20,7:39,30,5,0,0,2,79
talek,3006,d,16,6,1992,33771,16:20,18:07,15,2,1,0,0,107
talek,3025,o,11,7,1992,33796,6:58,7:36,10,1,0,1,NaN,38
talek,3040,k,16,7,1992,33801,16:55,18:21,13,1,0,1,NaN,86
talek,3064,d,24,7,1992,33809,6:29,7:28,11,4,0,0,0,59
talek,3068.11,k,29,7,1992,33814,6:18,6:26,1,3,1,1,NaN,8
talek,3148,k,19,9,1992,33866,6:58,8:07,10,6,1,0,2,69
talek,3156,k,21,9,1992,33868,7:33,7:54,3,2,1,1,0,21
talek,3185,d,14,10,1992,33891,6:19,6:45,8,2,0,1,NaN,26
talek,3192,k,16,10,1992,33893,6:33,8:44,20,3,1,0,0,131
talek,3210,k,23,10,1992,33900,6:18,7:18,16,NaN,1,1,NaN,60
talek,3264,d,1,11,1992,33909,18:03,18:50,11,NaN,0,1,NaN,47
talek,3290,o,22,11,1992,33930,18:23,18:57,5,15,0,1,NaN,34
talek,3336,k,20,12,1992,33958,6:34,9:15,29,3,1,0,NaN,161
talek,3337,d,20,12,1992,33958,17:40,18:50,13,2,0,1,NaN,70
talek,3347,k,26,11,1992,33934,7:15,7:46,5,1,1,0,0,31
talek,3357,o,24,12,1992,33962,6:29,8:06,8,3,0,1,0,97
talek,3367,d,28,12,1992,33966,18:43,19:09,6,NaN,0,1,NaN,26
talek,3370,d,30,12,1992,33968,7:06,7:49,7,2,0,1,NaN,43
talek,3374.5,k,30,12,1992,33968,18:47,19:33,12,4,1,0,0,46
talek,3488,d,19,4,1993,34078,6:16,6:30,6,1,0,1,NaN,14
talek,3489,o,19,4,1993,34078,6:34,7:32,14,3,0,1,NaN,58
talek,3512,k,3,5,1993,34092,6:20,9:17,29,3,1,0,0,177
talek,3561.6,o,2,12,1992,33940,17:21,17:26,1,3,0,1,NaN,5
talek,3563,k,3,12,1992,33941,6:30,7:16,14,4,1,1,NaN,46
talek,3586,k,9,1,1993,33978,7:17,8:05,9,1,1,0,4,48
talek,3671.5,o,24,12,1992,33962,6:46,6:51,4,3,0,1,NaN,5
talek,3716,o,25,1,1993,33994,6:38,7:15,4,3,0,0,0,37
