ID,Year,Month,BiMonth,YearBiMonth,StudyBiMonth,Transect,TotalPrey,TotalMigratory,TotalResidents,Richness,Shannon,Evenness,Thomsons,Impala,Zebra,Gnu,Topi,Hartebeast,Warthog,Grants,Buffalo,Hippo,Giraffe,Springbok,Duiker,Ostrich,Eland,Elephant,Oribi,Reedbuck,Waterbuck,Baboons,Bushbuck,Other
115,1991,3,2,6,78,WHIGH,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0
116,1991,3,2,6,78,WLOW,177,1,176,,,,137,2,0,1,36,0,,,,,,,,,,,,,,,,1
117,1991,5,1,9,81,WHIGH,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118,1991,5,1,9,81,WLOW,116,5,111,4,0.95512972,0.313720703,75,9,5,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
119,1991,5,2,10,82,WHIGH,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
120,1991,5,2,10,82,WLOW,117,0,117,4,0.623550114,0.204810484,93,2,0,0,20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
121,1991,6,1,11,83,WHIGH,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
122,1991,6,1,11,83,WLOW,139,1,138,6,1.140644561,0.374654674,85,3,0,1,28,13,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,
123,1991,6,2,12,84,WHIGH,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
124,1991,6,2,12,84,WLOW,119,0,119,3,0.581847775,0.191112986,91,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
125,1991,7,1,13,85,WHIGH,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
126,1991,7,1,13,85,WLOW,206,14,192,6,1.122286624,0.368624849,104,1,5,9,76,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,
127,1991,7,2,14,86,WHIGH,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
128,1991,7,2,14,86,WLOW,430,44,386,6,0.706683883,0.232116497,350,15,44,0,11,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,
129,1991,8,1,15,87,WHIGH,34,34,0,1,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
130,1991,8,1,15,87,WLOW,485,218,267,7,1.21234269,0.398204551,69,2,205,13,187,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,
131,1991,8,2,16,88,WHIGH,4,4,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
132,1991,8,2,16,88,WLOW,1708,1616,92,6,0.775160547,0.254608256,41,4,379,1237,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
133,1991,9,1,17,89,WHIGH,107,61,46,6,1.477417083,0.485270552,0,1,18,43,26,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,
134,1991,9,1,17,89,WLOW,212,114,98,8,1.271505847,0.417637207,64,1,3,111,11,0,0,10,0,0,2,0,0,10,0,0,0,0,0,0,0,
135,1991,9,2,18,90,WHIGH,294,170,124,5,1.474073038,0.484172171,47,0,102,68,63,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,
136,1991,9,2,18,90,WLOW,344,203,141,5,0.958015464,0.314668551,106,3,0,203,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
137,1991,10,1,19,91,WHIGH,89,3,86,4,0.886501673,0.291179221,33,2,3,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
138,1991,10,1,19,91,WLOW,58,3,55,5,1.066474886,0.350292996,37,0,3,0,12,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
139,1991,10,2,20,92,WHIGH,103,33,70,6,1.37234938,0.450760146,15,1,33,0,41,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
140,1991,10,2,20,92,WLOW,181,11,170,5,0.712516478,0.234032264,142,1,0,11,25,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
141,1991,11,1,21,93,WHIGH,21,7,14,3,1.071018542,0.351785399,9,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
142,1991,11,1,21,93,WLOW,192,0,192,4,0.486936919,0.159938686,164,1,0,0,24,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
143,1991,11,2,22,94,WHIGH,17,4,13,4,1.29803568,0.426351162,0,7,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
144,1991,11,2,22,94,WLOW,135,3,132,5,0.777891862,0.25550538,95,1,3,0,34,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
145,1991,12,1,23,95,WHIGH,12,0,12,2,0.636514168,0.209068641,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
146,1991,12,1,23,95,WLOW,65,2,63,7,1.302654809,0.427868356,31,2,0,2,22,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,
147,1991,12,2,24,96,WHIGH,601,596,5,4,0.73607396,0.241769925,2,0,268,328,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
148,1991,12,2,24,96,WLOW,348,290,58,5,1.141723917,0.375009198,36,1,124,166,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
149,1992,1,1,1,97,WHIGH,5,0,5,3,1.054920168,0.346497748,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
150,1992,1,1,1,97,WLOW,137,0,137,4,0.620576082,0.203833637,109,4,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
151,1992,1,2,2,98,WHIGH,17,2,15,5,1.118540596,0.367394433,2,0,2,0,1,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,
152,1992,1,2,2,98,WLOW,145,47,98,5,1.256379706,0.412668894,50,0,46,1,42,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
153,1992,2,1,3,99,WHIGH,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
154,1992,2,1,3,99,WLOW,335,119,216,5,1.070057508,0.351469739,170,1,119,0,35,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
155,1992,2,2,4,100,WHIGH,76,56,20,4,0.820151655,0.269385978,7,0,56,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
156,1992,2,2,4,100,WLOW,38,0,38,2,0.680629488,0.223558703,22,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
157,1992,3,1,5,101,WHIGH,31,0,31,3,1.013187508,0.332790291,11,0,0,0,15,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
158,1992,3,1,5,101,WLOW,311,0,311,4,0.287297956,0.094365524,290,3,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
159,1992,3,2,6,102,WHIGH,5,0,5,2,0.500402424,0.164361549,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
160,1992,3,2,6,102,WLOW,48,0,48,2,0.482577565,0.158506818,39,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
161,1992,4,1,7,103,WHIGH,216,78,138,6,1.148844447,0.377347998,108,0,78,0,16,0,0,2,5,0,0,0,0,0,0,7,0,0,0,0,0,
162,1992,4,1,7,103,WLOW,143,0,143,4,0.556050268,0.18263957,118,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,
163,1992,4,2,8,104,WHIGH,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
164,1992,4,2,8,104,WLOW,409,9,400,5,0.523118577,0.171822868,353,0,9,0,39,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,
165,1992,5,1,9,105,WHIGH,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
166,1992,5,1,9,105,WLOW,128,2,126,5,1.254720831,0.412124022,36,16,2,0,62,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
167,1992,5,2,10,106,WHIGH,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
168,1992,5,2,10,106,WLOW,468,4,464,6,0.409464045,0.134492044,426,1,4,0,22,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
169,1992,6,1,11,107,WHIGH,12,0,12,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,
170,1992,6,1,11,107,WLOW,586,4,582,7,0.465816437,0.153001479,526,15,3,1,27,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,
171,1992,6,2,12,108,WHIGH,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
172,1992,6,2,12,108,WLOW,727,0,727,4,1.005061846,0.330121346,385,58,0,0,264,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,
173,1992,7,1,13,109,WHIGH,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
174,1992,7,1,13,109,WLOW,344,1,343,6,1.067061568,0.350485697,145,26,0,1,159,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,
175,1992,7,2,14,110,WHIGH,26,24,2,3,0.82839299,0.272092917,0,0,17,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
176,1992,7,2,14,110,WLOW,422,111,311,7,1.287373569,0.422849099,243,27,20,91,18,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,
177,1992,8,1,15,111,WHIGH,618,617,1,3,0.477554,0.156856785,0,0,109,508,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
178,1992,8,1,15,111,WLOW,1213,1041,172,8,0.941347767,0.3091939,135,18,201,840,4,3,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,
179,1992,8,2,16,112,WHIGH,1681,1679,2,3,0.309848414,0.101772419,2,0,150,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
180,1992,8,2,16,112,WLOW,2625,2601,24,6,0.121328654,0.039851457,14,1,29,2572,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
181,1992,9,1,17,113,WHIGH,58,0,58,5,1.265265454,0.415587495,28,0,0,0,16,9,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
182,1992,9,1,17,113,WLOW,84,43,41,3,0.997749264,0.327719465,28,0,0,43,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
183,1992,10,1,19,115,WHIGH,204,58,146,6,1.451789738,0.476853026,34,22,42,16,89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
184,1992,10,1,19,115,WLOW,40,25,15,6,1.544428837,0.507281148,6,0,8,17,4,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,
185,1992,10,2,20,116,WHIGH,14,6,8,4,1.239659392,0.40717696,1,0,0,6,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
186,1992,10,2,20,116,WLOW,29,15,14,3,0.89053972,0.292505553,12,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
187,1992,11,1,21,117,WHIGH,49,6,43,8,1.614384188,0.530258594,16,2,6,0,17,0,4,1,0,0,0,0,0,1,0,2,0,0,0,0,0,
188,1992,11,1,21,117,WLOW,21,0,21,3,0.709115258,0.232915103,16,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
189,1992,11,2,22,118,WHIGH,4,0,4,2,0.562335145,0.184703892,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
190,1992,11,2,22,118,WLOW,24,0,24,2,0.376770161,0.123753452,21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
191,1992,12,1,23,119,WHIGH,180,131,49,6,0.840567866,0.276091861,36,0,131,0,0,0,4,3,0,0,0,0,0,2,0,4,0,0,0,0,0,
192,1992,12,1,23,119,WLOW,17,0,17,2,0.545594574,0.179205306,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
193,1992,12,2,24,120,WHIGH,13,0,13,,,,13,0,0,0,0,0,,,,,,,,,,,,,,,,0
194,1992,12,2,24,120,WLOW,246,12,234,,,,209,0,12,0,20,0,,,,,,,,,,,,,,,,5
195,1993,1,1,1,121,WHIGH,26,0,26,3,0.585783129,0.192405588,21,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
196,1993,1,1,1,121,WLOW,132,0,132,3,0.516945728,0.169795342,110,0,0,0,19,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
197,1993,1,2,2,122,WHIGH,4,1,3,3,1.039720771,0.341505373,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
198,1993,1,2,2,122,WLOW,299,0,299,4,0.559751024,0.183855115,239,2,0,0,56,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
199,1993,2,1,3,123,WHIGH,4,0,4,2,0.693147181,0.227670249,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
200,1993,2,1,3,123,WLOW,623,0,623,3,0.327306046,0.107506531,564,2,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
201,1993,3,1,5,125,WHIGH,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
202,1993,3,1,5,125,WLOW,574,0,574,5,0.712130554,0.233905504,426,14,0,0,126,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
